INDEX,BARCODE_TEXT,BARCODE_FORMAT,STATUS,LOCATION
"57","Dynamsoft0084","DATAMATRIX","Recognized","[(505,859),(537,858),(537,891),(504,891)]"
"58","Dynamsoft0032","DATAMATRIX","Recognized","[(774,860),(804,860),(804,891),(774,891)]"
"59","Dynamsoft0098","DATAMATRIX","Recognized","[(1037,853),(1066,853),(1068,884),(1037,883)]"
"60","Dynamsoft0072","DATAMATRIX","Recognized","[(1296,860),(1326,860),(1325,890),(1295,890)]"
"61","Dynamsoft0044","DATAMATRIX","Recognized","[(226,921),(257,921),(257,950),(226,950)]"
"62","Dynamsoft0079","DATAMATRIX","Recognized","[(502,916),(532,916),(532,946),(502,946)]"
"63","Dynamsoft0033","DATAMATRIX","Recognized","[(770,916),(800,916),(801,946),(771,946)]"
"64","Dynamsoft0026","DATAMATRIX","Recognized","[(1033,908),(1063,908),(1063,940),(1034,939)]"
"65","Dynamsoft0003","DATAMATRIX","Duplicated","[(1290,913),(1320,913),(1319,941),(1289,942)]"
"66","Dynamsoft0014","DATAMATRIX","Recognized","[(229,977),(261,977),(262,1009),(229,1009)]"
"67","Dynamsoft0034","DATAMATRIX","Recognized","[(503,973),(534,972),(535,1003),(503,1004)]"
"68","Dynamsoft0016","DATAMATRIX","Recognized","[(769,968),(800,967),(801,999),(770,1001)]"
"69","Dynamsoft0017","DATAMATRIX","Recognized","[(1024,963),(1055,963),(1055,995),(1024,995)]"
"70","Dynamsoft0053","DATAMATRIX","Recognized","[(1288,967),(1319,966),(1317,996),(1286,997)]"
"71","Dynamsoft0010","DATAMATRIX","Recognized","[(230,1032),(261,1032),(260,1062),(230,1063)]"
"72","Dynamsoft0047","DATAMATRIX","Recognized","[(501,1024),(531,1024),(531,1053),(500,1054)]"
"73","Dynamsoft0020","DATAMATRIX","Recognized","[(769,1020),(801,1020),(800,1051),(768,1051)]"
"74","Dynamsoft0059","DATAMATRIX","Recognized","[(1025,1020),(1055,1020),(1053,1049),(1023,1049)]"
"75","Dynamsoft0074","DATAMATRIX","Recognized","[(1292,1023),(1320,1023),(1320,1051),(1291,1052)]"
"76","Dynamsoft0018","DATAMATRIX","Recognized","[(229,1088),(262,1088),(262,1120),(228,1121)]"
"77","Dynamsoft0011","DATAMATRIX","Recognized","[(497,1083),(527,1083),(527,1112),(497,1113)]"
"78","Dynamsoft0039","DATAMATRIX","Recognized","[(761,1076),(789,1077),(788,1105),(760,1104)]"
"79","Dynamsoft0089","DATAMATRIX","Recognized","[(1019,1070),(1050,1070),(1048,1101),(1017,1101)]"
"80","Dynamsoft0068","DATAMATRIX","Recognized","[(1285,1072),(1314,1072),(1313,1102),(1284,1102)]"
"81","Dynamsoft0078","DATAMATRIX","Recognized","[(231,1146),(263,1146),(263,1175),(232,1176)]"
"82","Dynamsoft0012","DATAMATRIX","Recognized","[(500,1135),(532,1136),(531,1166),(499,1165)]"
"83","Dynamsoft0035","DATAMATRIX","Recognized","[(763,1130),(793,1130),(793,1160),(762,1160)]"
"84","Dynamsoft0005","DATAMATRIX","Recognized","[(1022,1126),(1050,1125),(1048,1153),(1019,1153)]"
"85","Dynamsoft0056","DATAMATRIX","Recognized","[(1300,1126),(1330,1126),(1329,1157),(1299,1157)]"
"86","Dynamsoft0088","DATAMATRIX","Recognized","[(228,1200),(261,1199),(262,1230),(230,1231)]"
"87","Dynamsoft0013","DATAMATRIX","Recognized","[(496,1188),(528,1187),(528,1218),(496,1218)]"
"88","Dynamsoft0091","DATAMATRIX","Recognized","[(761,1183),(792,1182),(792,1213),(761,1215)]"
"89","Dynamsoft0090","DATAMATRIX","Recognized","[(1022,1183),(1053,1183),(1051,1212),(1020,1213)]"
"90","Dynamsoft0099","DATAMATRIX","Recognized","[(1306,1176),(1334,1176),(1334,1205),(1305,1206)]"
"91","Dynamsoft0080","DATAMATRIX","Recognized","[(232,1253),(262,1252),(262,1281),(232,1281)]"
"92","Dynamsoft0069","DATAMATRIX","Recognized","[(503,1247),(534,1246),(534,1277),(503,1278)]"
"93","Dynamsoft0040","DATAMATRIX","Recognized","[(766,1242),(796,1241),(796,1271),(766,1272)]"
"94","Dynamsoft0094","DATAMATRIX","Recognized","[(1038,1240),(1067,1239),(1063,1266),(1034,1267)]"
"95","Dynamsoft0043","DATAMATRIX","Recognized","[(1285,1228),(1314,1227),(1312,1256),(1284,1257)]"
