INDEX,BARCODE_TEXT,BARCODE_FORMAT,STATUS,LOCATION
"36","case-120","DATAMATRIX","Duplicated","[(1559,304),(1599,321),(1581,361),(1541,344)]"
"37","case-145","DATAMATRIX","Recognized","[(1685,339),(1647,362),(1625,323),(1663,301)]"
"38","case-147","DATAMATRIX","Recognized","[(1759,353),(1716,346),(1722,303),(1765,309)]"
"39","case-228","DATAMATRIX","Recognized","[(1806,302),(1849,307),(1845,350),(1802,345)]"
"40","case-131","DATAMATRIX","Recognized","[(1885,317),(1924,297),(1944,338),(1905,357)]"
"41","case-085","DATAMATRIX","Recognized","[(168,448),(123,441),(132,397),(177,405)]"
"42","case-196","DATAMATRIX","Recognized","[(226,391),(270,403),(258,446),(214,434)]"
"43","case-137","DATAMATRIX","Recognized","[(342,387),(358,427),(314,442),(299,402)]"
"44","case-116","DATAMATRIX","Recognized","[(389,396),(434,392),(438,436),(393,440)]"
"45","case-178","DATAMATRIX","Recognized","[(515,386),(526,426),(482,439),(471,398)]"
"46","case-173","DATAMATRIX","Recognized","[(616,392),(616,434),(570,435),(570,393)]"
"47","case-119","DATAMATRIX","Recognized","[(657,393),(702,400),(695,442),(650,437)]"
"48","case-054","DATAMATRIX","Recognized","[(735,412),(777,396),(795,437),(752,455)]"
"49","case-194","DATAMATRIX","Recognized","[(829,412),(875,406),(882,451),(836,457)]"
"50","case-063","DATAMATRIX","Recognized","[(963,400),(973,444),(931,454),(920,411)]"
"51","case-067","DATAMATRIX","Recognized","[(1148,392),(1178,427),(1143,454),(1112,417)]"
"52","case-169","DATAMATRIX","Recognized","[(1248,388),(1264,430),(1220,442),(1204,400)]"
"53","case-050","DATAMATRIX","Recognized","[(1317,394),(1350,427),(1314,455),(1281,422)]"
"54","case-059","DATAMATRIX","Recognized","[(1420,382),(1441,421),(1402,438),(1381,398)]"
"55","case-126","DATAMATRIX","Recognized","[(1507,451),(1464,439),(1474,396),(1517,408)]"
"56","case-167","DATAMATRIX","Recognized","[(1607,416),(1582,453),(1545,427),(1570,389)]"
"57","case-231","DATAMATRIX","Recognized","[(1624,423),(1650,388),(1687,415),(1659,451)]"
"58","case-124","DATAMATRIX","Recognized","[(1772,403),(1753,443),(1713,425),(1731,385)]"
"59","case-035","DATAMATRIX","Recognized","[(1849,387),(1851,430),(1806,432),(1804,389)]"
"60","case-209","DATAMATRIX","Recognized","[(1947,399),(1932,439),(1890,423),(1905,383)]"
"61","case-161","DATAMATRIX","Recognized","[(173,487),(170,532),(125,530),(127,486)]"
"62","case-197","DATAMATRIX","Recognized","[(210,493),(255,482),(265,526),(220,536)]"
"63","case-179","DATAMATRIX","Recognized","[(324,473),(355,506),(322,537),(291,505)]"
"64","case-170","DATAMATRIX","Duplicated","[(380,517),(393,477),(437,486),(424,526)]"
"65","case-140","DATAMATRIX","Duplicated","[(525,493),(501,527),(463,505),(488,471)]"
"66","case-162","DATAMATRIX","Recognized","[(601,472),(618,511),(575,527),(560,488)]"
"67","case-198","DATAMATRIX","Recognized","[(648,525),(656,482),(701,484),(695,525)]"
"68","case-159","DATAMATRIX","Recognized","[(782,534),(737,527),(745,484),(791,491)]"
"69","case-080","DATAMATRIX","Recognized","[(824,499),(867,481),(886,522),(844,540)]"
"70","case-065","DATAMATRIX","Recognized","[(936,546),(909,510),(948,484),(974,521)]"
"71","case-187","DATAMATRIX","Recognized","[(1137,475),(1177,498),(1152,535),(1113,512)]"
"72","case-260","DATAMATRIX","Recognized","[(1204,508),(1234,474),(1271,504),(1242,537)]"
"73","case-077","DATAMATRIX","Recognized","[(1325,478),(1356,511),(1327,541),(1293,508)]"
"74","case-225","DATAMATRIX","Recognized","[(1416,525),(1372,524),(1371,481),(1417,482)]"
"75","case-233","DATAMATRIX","Recognized","[(1470,485),(1515,493),(1508,539),(1465,532)]"
"76","case-188","DATAMATRIX","Recognized","[(1554,497),(1588,469),(1617,505),(1582,532)]"
"77","case-227","DATAMATRIX","Recognized","[(1698,516),(1660,538),(1640,498),(1677,477)]"
"78","case-212","DATAMATRIX","Recognized","[(1738,465),(1778,485),(1757,524),(1717,504)]"
"79","case-130","DATAMATRIX","Recognized","[(1844,530),(1802,514),(1822,472),(1863,491)]"
"80","case-057","DATAMATRIX","Recognized","[(1937,521),(1896,504),(1913,464),(1954,481)]"
"81","case-138","DATAMATRIX","Recognized","[(179,586),(158,627),(117,607),(137,566)]"
"82","case-219","DATAMATRIX","Recognized","[(220,620),(207,578),(251,563),(265,606)]"
"83","case-195","DATAMATRIX","Recognized","[(297,583),(339,564),(360,604),(319,623)]"
"84","case-081","DATAMATRIX","Recognized","[(446,601),(404,617),(387,577),(430,561)]"
"85","case-203","DATAMATRIX","Recognized","[(539,607),(497,627),(478,583),(520,566)]"
"86","case-070","DATAMATRIX","Recognized","[(616,604),(571,612),(563,571),(607,562)]"
"87","case-122","DATAMATRIX","Recognized","[(684,621),(646,596),(673,560),(711,586)]"
"88","case-019","DATAMATRIX","Recognized","[(775,564),(797,602),(756,623),(733,585)]"
"89","case-136","DATAMATRIX","Recognized","[(853,567),(887,598),(854,632),(820,600)]"
"90","case-071","DATAMATRIX","Recognized","[(945,634),(911,603),(943,570),(977,601)]"
"91","case-022","DATAMATRIX","Recognized","[(1178,599),(1141,624),(1114,587),(1151,562)]"
"92","case-032","DATAMATRIX","Recognized","[(1209,567),(1255,561),(1262,603),(1216,609)]"
"93","case-013","DATAMATRIX","Recognized","[(1343,593),(1320,631),(1280,606),(1303,569)]"
"94","case-127","DATAMATRIX","Recognized","[(1437,566),(1417,604),(1376,586),(1395,549)]"
"95","case-078","DATAMATRIX","Recognized","[(1511,614),(1468,624),(1454,584),(1497,571)]"
"96","case-034","DATAMATRIX","Recognized","[(1596,586),(1561,614),(1535,579),(1570,552)]"
"97","case-033","DATAMATRIX","Recognized","[(1639,564),(1686,567),(1681,612),(1635,607)]"
"98","case-184","DATAMATRIX","Recognized","[(1757,554),(1780,593),(1740,615),(1717,576)]"
"99","case-020","DATAMATRIX","Recognized","[(1828,620),(1807,578),(1847,558),(1867,597)]"
"100","case-205","DATAMATRIX","Recognized","[(1906,560),(1950,561),(1951,605),(1906,604)]"
"101","case-210","DATAMATRIX","Duplicated","[(144,656),(174,689),(140,720),(110,688)]"
"102","case-094","DATAMATRIX","Recognized","[(267,689),(228,714),(201,676),(240,651)]"
"103","case-092","DATAMATRIX","Recognized","[(316,657),(359,672),(344,714),(300,700)]"
"104","case-075","DATAMATRIX","Recognized","[(442,658),(445,701),(400,703),(397,660)]"
"105","case-120","DATAMATRIX","Duplicated","[(500,703),(468,676),(504,644),(535,672)]"
"106","case-039","DATAMATRIX","Recognized","[(612,656),(612,697),(566,697),(567,655)]"
"107","case-084","DATAMATRIX","Recognized","[(685,712),(642,709),(646,665),(689,667)]"
"108","case-095","DATAMATRIX","Recognized","[(727,685),(764,659),(792,696),(754,722)]"
"109","case-140","DATAMATRIX","Duplicated","[(822,672),(871,666),(878,711),(831,717)]"
"110","case-236","DATAMATRIX","Recognized","[(937,660),(976,688),(950,724),(910,700)]"
"111","case-226","DATAMATRIX","Recognized","[(1134,707),(1122,664),(1168,652),(1181,695)]"
"112","case-096","DATAMATRIX","Recognized","[(1244,646),(1273,681),(1237,708),(1207,672)]"
"113","case-088","DATAMATRIX","Recognized","[(1356,700),(1311,705),(1308,661),(1351,655)]"
"114","case-229","DATAMATRIX","Recognized","[(1392,681),(1404,640),(1447,654),(1435,695)]"
"115","case-014","DATAMATRIX","Recognized","[(1482,694),(1490,648),(1533,657),(1526,701)]"
"116","case-166","DATAMATRIX","Recognized","[(1570,631),(1612,648),(1599,690),(1556,672)]"
"117","case-079","DATAMATRIX","Recognized","[(1688,693),(1643,694),(1642,649),(1687,647)]"
"118","case-051","DATAMATRIX","Recognized","[(1783,675),(1742,694),(1722,654),(1762,636)]"
"119","case-191","DATAMATRIX","Recognized","[(1845,636),(1878,667),(1847,699),(1814,668)]"
"120","case-024","DATAMATRIX","Recognized","[(1964,660),(1939,697),(1901,673),(1925,637)]"
"121","case-091","DATAMATRIX","Recognized","[(170,788),(131,812),(106,774),(146,749)]"
"122","case-037","DATAMATRIX","Recognized","[(259,757),(246,802),(201,791),(214,747)]"
"123","case-089","DATAMATRIX","Recognized","[(317,740),(357,766),(328,803),(290,778)]"
"124","case-074","DATAMATRIX","Recognized","[(394,791),(401,745),(446,751),(440,796)]"
"125","case-100","DATAMATRIX","Recognized","[(474,753),(517,737),(535,779),(493,794)]"
"126","case-018","DATAMATRIX","Recognized","[(617,786),(571,789),(567,746),(611,742)]"
"127","case-180","DATAMATRIX","Duplicated","[(689,799),(646,781),(663,741),(706,758)]"
"128","case-026","DATAMATRIX","Recognized","[(790,773),(763,810),(725,783),(753,746)]"
"129","case-062","DATAMATRIX","Recognized","[(860,751),(884,792),(842,813),(818,772)]"
"130","case-111","DATAMATRIX","Recognized","[(920,755),(967,763),(961,808),(914,801)]"
"131","case-066","DATAMATRIX","Recognized","[(1165,730),(1171,773),(1122,783),(1115,740)]"
"132","case-164","DATAMATRIX","Recognized","[(1273,778),(1230,798),(1209,755),(1252,738)]"
"133","case-180","DATAMATRIX","Duplicated","[(1324,795),(1299,756),(1340,731),(1364,772)]"
"134","case-031","DATAMATRIX","Recognized","[(1396,743),(1438,731),(1451,774),(1408,788)]"
"135","case-210","DATAMATRIX","Duplicated","[(1502,728),(1530,765),(1502,782),(1474,746)]"
"136","case-232","DATAMATRIX","Recognized","[(1592,722),(1628,751),(1602,786),(1568,757)]"
"137","case-023","DATAMATRIX","Recognized","[(1678,739),(1710,768),(1677,799),(1645,770)]"
"138","case-086","DATAMATRIX","Recognized","[(1781,780),(1737,767),(1748,723),(1792,737)]"
"139","case-270","DATAMATRIX","Recognized","[(1880,768),(1838,780),(1825,735),(1867,725)]"
"140","case-189","DATAMATRIX","Recognized","[(1969,744),(1959,786),(1919,775),(1928,732)]"
"141","case-182","DATAMATRIX","Recognized","[(149,895),(106,880),(122,835),(166,850)]"
"142","case-030","DATAMATRIX","Recognized","[(253,887),(206,889),(207,841),(254,840)]"
"143","case-141","DATAMATRIX","Recognized","[(294,843),(341,837),(345,884),(298,890)]"
"144","case-250","DATAMATRIX","Recognized","[(434,835),(432,880),(385,877),(387,836)]"
"145","case-156","DATAMATRIX","Recognized","[(469,846),(511,826),(530,866),(486,887)]"
"146","case-222","DATAMATRIX","Recognized","[(562,836),(608,836),(609,883),(562,882)]"
"147","case-064","DATAMATRIX","Recognized","[(695,888),(647,881),(653,835),(699,841)]"
"148","case-158","DATAMATRIX","Recognized","[(784,896),(740,882),(752,836),(797,850)]"
"149","case-083","DATAMATRIX","Recognized","[(865,842),(880,887),(833,900),(819,855)]"
"150","case-153","DATAMATRIX","Recognized","[(917,860),(961,845),(979,890),(934,903)]"
"151","case-146","DATAMATRIX","Recognized","[(1135,884),(1118,841),(1162,822),(1180,865)]"
"152","case-021","DATAMATRIX","Recognized","[(1260,828),(1267,875),(1218,879),(1214,833)]"
"153","case-148","DATAMATRIX","Recognized","[(1297,854),(1323,814),(1362,839),(1337,878)]"
"154","case-165","DATAMATRIX","Recognized","[(1406,878),(1393,833),(1437,819),(1450,864)]"
"155","case-052","DATAMATRIX","Recognized","[(1493,873),(1482,828),(1525,816),(1536,861)]"
"156","case-036","DATAMATRIX","Recognized","[(1582,809),(1624,824),(1612,868),(1570,853)]"
"157","case-097","DATAMATRIX","Recognized","[(1661,846),(1696,818),(1721,855),(1687,882)]"
"158","case-047","DATAMATRIX","Recognized","[(1758,810),(1798,833),(1778,872),(1737,849)]"
"159","case-069","DATAMATRIX","Recognized","[(1821,840),(1848,807),(1884,839),(1857,872)]"
"160","case-185","DATAMATRIX","Recognized","[(1947,814),(1971,854),(1932,875),(1908,836)]"
"161","case-177","DATAMATRIX","Recognized","[(146,985),(103,968),(121,924),(163,940)]"
"162","case-211","DATAMATRIX","Recognized","[(235,988),(192,971),(212,926),(255,944)]"
"163","case-017","DATAMATRIX","Recognized","[(284,946),(324,920),(347,962),(306,987)]"
"164","case-073","DATAMATRIX","Recognized","[(374,948),(411,918),(439,956),(401,986)]"
"165","case-072","DATAMATRIX","Recognized","[(484,922),(527,937),(512,982),(467,967)]"
"166","case-199","DATAMATRIX","Recognized","[(594,986),(553,964),(574,922),(616,942)]"
"167","case-110","DATAMATRIX","Recognized","[(711,960),(676,991),(646,954),(681,923)]"
"168","case-028","DATAMATRIX","Recognized","[(802,957),(772,992),(735,961),(765,925)]"
"169","case-027","DATAMATRIX","Recognized","[(889,967),(853,996),(821,959),(856,929)]"
"170","case-150","DATAMATRIX","Duplicated","[(937,990),(919,945),(964,930),(981,975)]"
"171","case-204","DATAMATRIX","Recognized","[(1138,918),(1183,934),(1164,980),(1118,965)]"
"172","case-208","DATAMATRIX","Recognized","[(1248,910),(1275,948),(1236,976),(1208,939)]"
"173","case-207","DATAMATRIX","Recognized","[(1301,956),(1311,910),(1357,919),(1347,965)]"
"174","case-053","DATAMATRIX","Recognized","[(1392,947),(1413,905),(1454,926),(1433,968)]"
"175","case-170","DATAMATRIX","Duplicated","[(1491,964),(1488,917),(1534,914),(1535,961)]"
"176","case-025","DATAMATRIX","Recognized","[(1572,949),(1580,903),(1624,912),(1616,958)]"
"177","case-128","DATAMATRIX","Recognized","[(1713,913),(1701,958),(1660,947),(1672,903)]"
"178","case-029","DATAMATRIX","Recognized","[(1747,927),(1790,913),(1804,957),(1762,971)]"
"179","case-160","DATAMATRIX","Duplicated","[(1889,928),(1860,961),(1825,929),(1855,895)]"
"180","case-046","DATAMATRIX","Recognized","[(1973,958),(1929,958),(1927,914),(1971,912)]"
"181","case-016","DATAMATRIX","Recognized","[(147,1078),(103,1069),(112,1022),(157,1030)]"
"182","case-213","DATAMATRIX","Recognized","[(205,1018),(248,1030),(236,1077),(192,1065)]"
"183","case-112","DATAMATRIX","Recognized","[(305,1084),(279,1045),(315,1016),(342,1056)]"
"184","case-190","DATAMATRIX","Recognized","[(395,1080),(371,1039),(410,1013),(435,1053)]"
"185","case-010","DATAMATRIX","Recognized","[(465,1028),(510,1015),(521,1063),(477,1076)]"
"186","case-038","DATAMATRIX","Recognized","[(595,1013),(619,1054),(582,1079),(558,1038)]"
"187","case-240","DATAMATRIX","Recognized","[(654,1032),(697,1028),(701,1075),(656,1078)]"
"188","case-221","DATAMATRIX","Recognized","[(780,1087),(743,1059),(771,1020),(808,1050)]"
"189","case-230","DATAMATRIX","Duplicated","[(883,1093),(838,1079),(853,1034),(896,1048)]"
"190","case-280","DATAMATRIX","Recognized","[(934,1090),(909,1049),(948,1025),(975,1066)]"
"191","case-042","DATAMATRIX","Recognized","[(1148,1078),(1116,1045),(1151,1011),(1184,1045)]"
"192","case-041","DATAMATRIX","Recognized","[(1208,1055),(1232,1016),(1273,1038),(1249,1078)]"
"193","case-151","DATAMATRIX","Recognized","[(1355,1010),(1349,1057),(1304,1055),(1310,1006)]"
"194","case-040","DATAMATRIX","Recognized","[(1426,1065),(1390,1035),(1418,996),(1455,1025)]"
"195","case-186","DATAMATRIX","Recognized","[(1472,1022),(1508,995),(1535,1034),(1498,1060)]"
"196","case-012","DATAMATRIX","Recognized","[(1619,1011),(1626,1055),(1581,1062),(1574,1018)]"
"197","case-230","DATAMATRIX","Duplicated","[(1722,1010),(1707,1054),(1666,1038),(1681,994)]"
"198","case-049","DATAMATRIX","Recognized","[(1761,1009),(1805,1015),(1798,1059),(1754,1052)]"
"199","case-129","DATAMATRIX","Recognized","[(1835,995),(1881,999),(1880,1044),(1835,1041)]"
"200","case-087","DATAMATRIX","Recognized","[(1915,1027),(1938,989),(1979,1013),(1957,1052)]"
